rosbagTimestamp;x;y;theta;linear_velocity;angular_velocity
1614354680491702914;5.544444561;5.544444561;0.0;0.0;0.0
1614354680496634472;5.544444561;5.544444561;0.0;0.0;0.0
1614354680505551181;5.544444561;5.544444561;0.0;0.0;0.0
1614354680509413126;5.544444561;5.544444561;0.0;0.0;0.0
1614354680526460745;5.544444561;5.544444561;0.0;0.0;0.0
1614354680531863602;5.544444561;5.544444561;0.0;0.0;0.0
1614354680539354821;5.544444561;5.544444561;0.0;0.0;0.0
1614354680541874957;5.544444561;5.544444561;0.0;0.0;0.0
1614354680560706460;5.544444561;5.544444561;0.0;0.0;0.0
1614354680562668713;5.544444561;5.544444561;0.0;0.0;0.0
1614354680574907967;5.544444561;5.544444561;0.0;0.0;0.0
1614354680574971096;5.544444561;5.544444561;0.0;0.0;0.0
1614354680588073832;5.544444561;5.544444561;0.0;0.0;0.0
1614354680591299901;5.544444561;5.544444561;0.0;0.0;0.0
1614354680611768959;5.544444561;5.544444561;0.0;0.0;0.0
1614354680613726133;5.544444561;5.544444561;0.0;0.0;0.0
1614354680628260298;5.544444561;5.544444561;0.0;0.0;0.0
1614354680628610819;5.544444561;5.544444561;0.0;0.0;0.0
1614354680651327429;5.544444561;5.544444561;0.0;0.0;0.0
1614354680651458266;5.544444561;5.544444561;0.0;0.0;0.0
1614354680657479274;5.544444561;5.544444561;0.0;0.0;0.0
1614354680658095367;5.544444561;5.544444561;0.0;0.0;0.0
1614354680665112091;5.544444561;5.544444561;0.0;0.0;0.0
1614354680673296488;5.544444561;5.544444561;0.0;0.0;0.0
1614354680682386393;5.544444561;5.544444561;0.0;0.0;0.0
1614354680690333006;5.544444561;5.544444561;0.0;0.0;0.0
1614354680698527481;5.544444561;5.544444561;0.0;0.0;0.0
1614354680709287656;5.544444561;5.544444561;0.0;0.0;0.0
1614354680714050164;5.544444561;5.544444561;0.0;0.0;0.0
1614354680717661731;5.544444561;5.544444561;0.0;0.0;0.0
1614354680736474437;5.544444561;5.544444561;0.0;0.0;0.0
1614354680739518923;5.544444561;5.544444561;0.0;0.0;0.0
1614354680744683130;5.544444561;5.544444561;0.0;0.0;0.0
1614354680749301467;5.544444561;5.544444561;0.0;0.0;0.0
1614354680763240385;5.544444561;5.544444561;0.0;0.0;0.0
1614354680766482263;5.544444561;5.544444561;0.0;0.0;0.0
1614354680778546933;5.544444561;5.544444561;0.0;0.0;0.0
1614354680790165853;5.544444561;5.544444561;0.0;0.0;0.0
1614354680795969066;5.544444561;5.544444561;0.0;0.0;0.0
1614354680799402716;5.544444561;5.544444561;0.0;0.0;0.0
1614354680808863150;5.544444561;5.544444561;0.0;0.0;0.0
1614354680814778907;5.544444561;5.544444561;0.0;0.0;0.0
1614354680832546489;5.544444561;5.544444561;0.0;0.0;0.0
1614354680833966850;5.544444561;5.544444561;0.0;0.0;0.0
1614354680843351409;5.544444561;5.544444561;0.0;0.0;0.0
1614354680845789354;5.544444561;5.544444561;0.0;0.0;0.0
1614354680864247847;5.544444561;5.544444561;0.0;0.0;0.0
1614354680864327186;5.544444561;5.544444561;0.0;0.0;0.0
1614354680875639927;5.544444561;5.544444561;0.0;0.0;0.0
1614354680879039400;5.544444561;5.544444561;0.0;0.0;0.0
1614354680898497634;5.544444561;5.544444561;0.0;0.0;0.0
1614354680898532620;5.544444561;5.544444561;0.0;0.0;0.0
1614354680910004135;5.544444561;5.544444561;0.0;0.0;0.0
1614354680910184735;5.544444561;5.544444561;0.0;0.0;0.0
1614354680922646241;5.544444561;5.544444561;0.0;0.0;0.0
1614354680935367174;5.544444561;5.544444561;0.0;0.0;0.0
1614354680947054709;5.544444561;5.544444561;0.0;0.0;0.0
1614354680949158911;5.544444561;5.544444561;0.0;0.0;0.0
1614354680966248755;5.544444561;5.544444561;0.0;0.0;0.0
1614354680966359584;5.544444561;5.544444561;0.0;0.0;0.0
1614354680970230951;5.544444561;5.544444561;0.0;0.0;0.0
1614354680976451195;5.544444561;5.544444561;0.0;0.0;0.0
1614354680987056627;5.544444561;5.544444561;0.0;0.0;0.0
1614354680990644289;5.544444561;5.544444561;0.0;0.0;0.0
1614354681010205070;5.544444561;5.544444561;0.0;0.0;0.0
1614354681013128204;5.544444561;5.544444561;0.0;0.0;0.0
1614354681017486259;5.544444561;5.544444561;0.0;0.0;0.0
1614354681023602292;5.544444561;5.544444561;0.0;0.0;0.0
1614354681039746873;5.544444561;5.544444561;0.0;0.0;0.0
1614354681044460966;5.544444561;5.544444561;0.0;0.0;0.0
1614354681048679877;5.544444561;5.544444561;0.0;0.0;0.0
1614354681059563012;5.544444561;5.544444561;0.0;0.0;0.0
1614354681065972500;5.544444561;5.544444561;0.0;0.0;0.0
1614354681072024312;5.544444561;5.544444561;0.0;0.0;0.0
1614354681086580033;5.544444561;5.544444561;0.0;0.0;0.0
1614354681091198120;5.544444561;5.544444561;0.0;0.0;0.0
1614354681097706488;5.544444561;5.544444561;0.0;0.0;0.0
1614354681111252115;5.544444561;5.544444561;0.0;0.0;0.0
1614354681114553631;5.544444561;5.544444561;0.0;0.0;0.0
1614354681123431813;5.544444561;5.544444561;0.0;0.0;0.0
1614354681129591979;5.544444561;5.544444561;0.0;0.0;0.0
1614354681145657635;5.544444561;5.544444561;0.0;0.0;0.0
1614354681149329155;5.544444561;5.544444561;0.0;0.0;0.0
1614354681162706516;5.544444561;5.544444561;0.0;0.0;0.0
1614354681168027736;5.544444561;5.544444561;0.0;0.0;0.0
1614354681173354680;5.544444561;5.544444561;0.0;0.0;0.0
1614354681178057455;5.544444561;5.544444561;0.0;0.0;0.0
1614354681190488618;5.544444561;5.544444561;0.0;0.0;0.0
1614354681196307059;5.544444561;5.544444561;0.0;0.0;0.0
